Aktualisiere 4441 Charts
Verarbeite Batch 1 (100 Charts)
  Chart k5iKB: author='Christoph', email='christoph.knoop@rnd.de'
  Chart Pg4Mj: author='', email='elisabeth.woldt@rnd.de'
  Chart PgN2l: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart PgvYI: author='', email='christoph.kuehne@rnd.de'
  Chart PiSP1: author='online haz.de', email='online@haz.de'
  Chart PlpxQ: author='', email='patrick.fam@rnd.de'
  Chart Pm6SI: author='online haz.de', email='online@haz.de'
  Chart PoPdJ: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart PofFv: author='online haz.de', email='online@haz.de'
  920 Charts aktualisiert
  Chart PpzdW: author='online haz.de', email='online@haz.de'
  Chart PsUbM: author='online haz.de', email='online@haz.de'
  Chart Pv5DE: author='online haz.de', email='online@haz.de'
  Chart Pw87p: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart Q0aQr: author='online haz.de', email='online@haz.de'
  Chart Q16VO: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Q1J6M: author='online haz.de', email='online@haz.de'
  Chart Q2MGp: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart Q2Szt: author='online haz.de', email='online@haz.de'
  Chart Q6Qvq: author='', email='patrick.fam@rnd.de'
  930 Charts aktualisiert
  Chart QFFnL: author='', email='christoph.kuehne@rnd.de'
  Chart QHBLf: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart QHgrD: author='online haz.de', email='online@haz.de'
  Chart QJFEi: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart QJWr3: author='online haz.de', email='online@haz.de'
  Chart QJxD7: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart QOBl3: author='', email='christoph.kuehne@rnd.de'
  Chart QQWMX: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart QSokL: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart QU1Ii: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  940 Charts aktualisiert
  Chart QV2YM: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart QVVhY: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart QYFpy: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart Qb9oU: author='online haz.de', email='online@haz.de'
  Chart Qblgt: author='online haz.de', email='online@haz.de'
  Chart Qd8qh: author='online haz.de', email='online@haz.de'
  Chart QdFUq: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart QeSKQ: author='', email='patrick.fam@rnd.de'
  Chart Qf024: author='online haz.de', email='online@haz.de'
  Chart QgOFv: author='online haz.de', email='online@haz.de'
  950 Charts aktualisiert
  Chart QjaEQ: author='online haz.de', email='online@haz.de'
  Chart QjbNj: author='', email='christoph.kuehne@rnd.de'
  Chart QmrD7: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart Qo825: author='', email='elisabeth.woldt@rnd.de'
  Chart Qqs4O: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart QsVtY: author='', email='patrick.fam@rnd.de'
  Chart QuBlg: author='', email='christoph.kuehne@rnd.de'
  Chart Quh4P: author='online haz.de', email='online@haz.de'
  Chart Qw6i6: author='online haz.de', email='online@haz.de'
  Chart QwsDf: author='online haz.de', email='online@haz.de'
  960 Charts aktualisiert
  Chart QzIcB: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart R0Fhs: author='online haz.de', email='online@haz.de'
  Chart R4fd8: author='online haz.de', email='online@haz.de'
  Chart R4gBx: author='online haz.de', email='online@haz.de'
  Chart R4ryO: author='online haz.de', email='online@haz.de'
  Chart R7isJ: author='online haz.de', email='online@haz.de'
  Chart R9IBS: author='', email='christoph.kuehne@rnd.de'
  Chart R9lT2: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart RANsi: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart RDm0l: author='online haz.de', email='online@haz.de'
  970 Charts aktualisiert
  Chart RF1ls: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart RGALw: author='online haz.de', email='online@haz.de'
  Chart RJzg5: author='', email='elisabeth.woldt@rnd.de'
  Chart RNYkt: author='', email='christoph.kuehne@rnd.de'
  Chart RRXzU: author='', email='ina.johannsen@rnd.de'
  Chart RTTis: author='', email='christoph.kuehne@rnd.de'
  Chart RYtg7: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart RZI0z: author='', email='elisabeth.woldt@rnd.de'
  Chart RZJ6b: author='online haz.de', email='online@haz.de'
  Chart RajMX: author='online haz.de', email='online@haz.de'
  980 Charts aktualisiert
  Chart Rd7Vf: author='online haz.de', email='online@haz.de'
  Chart Rird2: author='online haz.de', email='online@haz.de'
  Chart RjTrO: author='', email='patrick.fam@rnd.de'
  Chart Rk17j: author='online haz.de', email='online@haz.de'
  Chart Ro3TC: author='online haz.de', email='online@haz.de'
  Chart Ro3hA: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Ropqt: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart Rss75: author='online haz.de', email='online@haz.de'
  Chart RuWrn: author='Michèle', email='m.foerster@madsack.de'
  Chart RuzMG: author='online haz.de', email='online@haz.de'
  990 Charts aktualisiert
  Chart RvprG: author='', email='christoph.kuehne@rnd.de'
  Chart Rvz5E: author='online haz.de', email='online@haz.de'
  Chart RwdjQ: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart S1H8u: author='online haz.de', email='online@haz.de'
  Chart S3V8q: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart S4XIm: author='online haz.de', email='online@haz.de'
  Chart S4ZCs: author='online haz.de', email='online@haz.de'
  Chart S4hvb: author='online haz.de', email='online@haz.de'
  Chart S64AF: author='online haz.de', email='online@haz.de'
  Chart S7l5B: author='online haz.de', email='online@haz.de'
  1000 Charts aktualisiert
Verarbeite Batch 11 (100 Charts)
  Chart S8P3Y: author='MADSACK Online', email='mol@madsack.de'
  Chart S8S2G: author='online haz.de', email='online@haz.de'
  Chart SABUV: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart SBREg: author='', email='christoph.kuehne@rnd.de'
  Chart SD5Ip: author='online haz.de', email='online@haz.de'
  Chart SELiV: author='', email='christoph.kuehne@rnd.de'
  Chart SFaia: author='online haz.de', email='online@haz.de'
  Chart SFrky: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart SHHwX: author='', email='elisabeth.woldt@rnd.de'
  Chart SKTJK: author='online haz.de', email='online@haz.de'
  1010 Charts aktualisiert
  Chart SKhaC: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart SLRtK: author='online haz.de', email='online@haz.de'
  Chart SOqhC: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart SQFlQ: author='online haz.de', email='online@haz.de'
  Chart SSXFf: author='online haz.de', email='online@haz.de'
  Chart SSbX4: author='', email='patrick.fam@rnd.de'
  Chart STi2F: author='online haz.de', email='online@haz.de'
  Chart SUhKS: author='', email='elisabeth.woldt@rnd.de'
  Chart SaM3Z: author='', email='sven.schulz@rnd.de'
  Chart SgQXF: author='online haz.de', email='online@haz.de'
  1020 Charts aktualisiert
  Chart ShdS1: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Shiyc: author='online haz.de', email='online@haz.de'
  Chart Sn32j: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart SnJV8: author='online haz.de', email='online@haz.de'
  Chart SpBOl: author='online haz.de', email='online@haz.de'
  Chart Sq3Ay: author='online haz.de', email='online@haz.de'
  Chart StQeL: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Swl6A: author='online haz.de', email='online@haz.de'
  Chart Swv91: author='online haz.de', email='online@haz.de'
  Chart SwvQF: author='online haz.de', email='online@haz.de'
  1030 Charts aktualisiert
  Chart SxFKk: author='', email='geraldine.oetken@rnd.de'
  Chart SxJCc: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart SxJVN: author='', email='christoph.kuehne@rnd.de'
  Chart SxJZC: author='online haz.de', email='online@haz.de'
  Chart T0JdL: author='online haz.de', email='online@haz.de'
  Chart T0r3O: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart T14uU: author='online haz.de', email='online@haz.de'
  Chart T8KRw: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart TDmM8: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart TG1u0: author='', email='patrick.fam@rnd.de'
  1040 Charts aktualisiert
  Chart TGgcR: author='online haz.de', email='online@haz.de'
  Chart THmcK: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart TIZJX: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart TKP3a: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart TKhFG: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart TM6di: author='online haz.de', email='online@haz.de'
  Chart TMXAo: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart TNTLO: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart TOmQb: author='online haz.de', email='online@haz.de'
  Chart TQSsi: author='', email='patrick.fam@rnd.de'
  1050 Charts aktualisiert
  Chart TSegt: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart TSiK9: author='online haz.de', email='online@haz.de'
  Chart TTDnT: author='online haz.de', email='online@haz.de'
  Chart TUbjk: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart TWDUI: author='', email='christoph.kuehne@rnd.de'
  Chart TXUKI: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart TZUsy: author='online haz.de', email='online@haz.de'
  Chart TdzJ4: author='online haz.de', email='online@haz.de'
  Chart TgWoK: author='', email='elisabeth.woldt@rnd.de'
  Chart Ti8H6: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  1060 Charts aktualisiert
  Chart Tl21C: author='online haz.de', email='online@haz.de'
  Chart TlwHv: author='', email='patrick.fam@rnd.de'
  Chart TmVeM: author='', email='christoph.kuehne@rnd.de'
  Chart Tmihe: author='', email='patrick.fam@rnd.de'
  Chart TnNsf: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Tt5SV: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Tu7ir: author='online haz.de', email='online@haz.de'
  Chart TubEK: author='', email='christoph.kuehne@rnd.de'
  Chart TyOAR: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart U7F37: author='online haz.de', email='online@haz.de'
  1070 Charts aktualisiert
  Chart U8mWS: author='online haz.de', email='online@haz.de'
  Chart U9fbu: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart UBDJZ: author='online haz.de', email='online@haz.de'
  Chart UCBON: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart UCPdQ: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart UCrNq: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart UDOJl: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart UDtFK: author='', email='christoph.kuehne@rnd.de'
  Chart UErXR: author='online haz.de', email='online@haz.de'
  Chart UF5Lg: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  1080 Charts aktualisiert
  Chart UFKd9: author='online haz.de', email='online@haz.de'
  Chart UGJC8: author='online haz.de', email='online@haz.de'
  Chart UGebT: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart ULil8: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart UMQ9P: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart UNTwC: author='online haz.de', email='online@haz.de'
  Chart USffs: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart UUedY: author='online haz.de', email='online@haz.de'
  Chart UWwMp: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart UX32Q: author='online haz.de', email='online@haz.de'
  1090 Charts aktualisiert
  Chart UZYrT: author='', email='christoph.kuehne@rnd.de'
  Chart Ub541: author='online haz.de', email='online@haz.de'
  Chart UbMJl: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart UcoK3: author='online haz.de', email='online@haz.de'
  Chart UcswZ: author='', email='elisabeth.woldt@rnd.de'
  Chart Uf0y2: author='', email='patrick.fam@rnd.de'
  Chart UhWeX: author='', email='christoph.kuehne@rnd.de'
  Chart Uhk9z: author='', email='sven.schulz@rnd.de'
  Chart UlOs0: author='online haz.de', email='online@haz.de'
  Chart UpK2Z: author='online haz.de', email='online@haz.de'
  1100 Charts aktualisiert
Verarbeite Batch 12 (100 Charts)
  Chart Uqh3b: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart UsrVC: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Utfqh: author='', email='christoph.kuehne@rnd.de'
  Chart Utw7F: author='Kilian Haller', email='kilian.haller@rnd.de'
  Chart UuAfa: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart UzqB0: author='online haz.de', email='online@haz.de'
  Chart Uzvix: author='online haz.de', email='online@haz.de'
  Chart V00MH: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart V23xG: author='online haz.de', email='online@haz.de'
  Chart V3g6f: author='Laura Beigel', email='laura.beigel@rnd.de'
  1110 Charts aktualisiert
  Chart V4G7C: author='online haz.de', email='online@haz.de'
  Chart V5H5x: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart V6Zsk: author='online haz.de', email='online@haz.de'
  Chart VCaNh: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart VK6Ez: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart VM8W4: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart VQapl: author='online haz.de', email='online@haz.de'
  Chart VQcd6: author='online haz.de', email='online@haz.de'
  Chart VT2fm: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart VXlro: author='', email='patrick.fam@rnd.de'
  1120 Charts aktualisiert
  Chart VYOTH: author='online haz.de', email='online@haz.de'
  Chart VYdsP: author='online haz.de', email='online@haz.de'
  Chart Va8mV: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart VcWqC: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Vj2F8: author='Christoph', email='christoph.knoop@rnd.de'
  Chart VjemD: author='online haz.de', email='online@haz.de'
  Chart Vknw2: author='online haz.de', email='online@haz.de'
  Chart VlHKf: author='Christoph', email='christoph.knoop@rnd.de'
  Chart VmS7J: author='online haz.de', email='online@haz.de'
  Chart VrKgf: author='', email='christoph.kuehne@rnd.de'
  1130 Charts aktualisiert
  Chart VrYvy: author='online haz.de', email='online@haz.de'
  Chart VutGs: author='online haz.de', email='online@haz.de'
  Chart VvsFM: author='online haz.de', email='online@haz.de'
  Chart VwDP3: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart VysD6: author='', email='patrick.fam@rnd.de'
  Chart Vz7FA: author='', email='patrick.fam@rnd.de'
  Chart Vzp3M: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart W0HyA: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart W3IR2: author='online haz.de', email='online@haz.de'
  Chart W4Amn: author='online haz.de', email='online@haz.de'
  1140 Charts aktualisiert
  Chart W5QiQ: author='online haz.de', email='online@haz.de'
  Chart W5ZKy: author='online haz.de', email='online@haz.de'
  Chart W8y3w: author='online haz.de', email='online@haz.de'
  Chart WBTqV: author='', email='geraldine.oetken@rnd.de'
  Chart WDCp6: author='', email='christoph.kuehne@rnd.de'
  Chart WDkDX: author='', email='christoph.kuehne@rnd.de'
  Chart WEgcn: author='online haz.de', email='online@haz.de'
  Chart WGfVf: author='online haz.de', email='online@haz.de'
  Chart WJ6LB: author='', email='elisabeth.woldt@rnd.de'
  Chart WJACR: author='', email='christoph.kuehne@rnd.de'
  1150 Charts aktualisiert
  Chart WLBab: author='online haz.de', email='online@haz.de'
  Chart WMTE5: author='', email='patrick.fam@rnd.de'
  Chart WNYRJ: author='', email='patrick.fam@rnd.de'
  Chart WObB5: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart WOjjg: author='online haz.de', email='online@haz.de'
  Chart WPE23: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart WRyN9: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart WT9zK: author='', email='sven.schulz@rnd.de'
  Chart WZZgW: author='online haz.de', email='online@haz.de'
  Chart WdBQX: author='online haz.de', email='online@haz.de'
  1160 Charts aktualisiert
  Chart WdHDi: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart WeNJO: author='Maike Ahlers-Geißler', email='m.geissler@madsack.de'
  Chart Wf21t: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart WhJMJ: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Whk9H: author='online haz.de', email='online@haz.de'
  Chart Wl8QJ: author='online haz.de', email='online@haz.de'
  Chart WmI2v: author='online haz.de', email='online@haz.de'
  Chart Ws4Sh: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Wt2I4: author='online haz.de', email='online@haz.de'
  Chart Wv59y: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  1170 Charts aktualisiert
  Chart WwldD: author='online haz.de', email='online@haz.de'
  Chart Wx33V: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart WzZMh: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart X0v7K: author='online haz.de', email='online@haz.de'
  Chart X4h5F: author='online haz.de', email='online@haz.de'
  Chart X76eN: author='online haz.de', email='online@haz.de'
  Chart X7CGY: author='online haz.de', email='online@haz.de'
  Chart XCXJE: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart XH3Fs: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart XHsj4: author='', email='christoph.kuehne@rnd.de'
  1180 Charts aktualisiert
  Chart XJJcr: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart XLYq6: author='Kilian Haller', email='kilian.haller@rnd.de'
  Chart XNq3e: author='online haz.de', email='online@haz.de'
  Chart XROrx: author='online haz.de', email='online@haz.de'
  Chart XVK6e: author='online haz.de', email='online@haz.de'
  Chart XWyer: author='', email='christoph.kuehne@rnd.de'
  Chart XZDGb: author='online haz.de', email='online@haz.de'
  Chart XZywJ: author='online haz.de', email='online@haz.de'
  Chart XayPg: author='Christoph', email='christoph.knoop@rnd.de'
  Chart Xf4HE: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  1190 Charts aktualisiert
  Chart Xmfzw: author='online haz.de', email='online@haz.de'
  Chart XpEGg: author='', email='patrick.fam@rnd.de'
  Chart XvVnY: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart XxvpY: author='', email='geraldine.oetken@rnd.de'
  Chart Xxx2b: author='', email='patrick.fam@rnd.de'
  Chart Y09d8: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart Y37Bj: author='online haz.de', email='online@haz.de'
  Chart Y3dDC: author='online haz.de', email='online@haz.de'
  Chart Y5bq2: author='online haz.de', email='online@haz.de'
  Chart YBGEI: author='', email='christoph.kuehne@rnd.de'
  1200 Charts aktualisiert
Verarbeite Batch 13 (100 Charts)
  Chart YETkO: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart YEkPX: author='', email='christoph.kuehne@rnd.de'
  Chart YGXUl: author='online haz.de', email='online@haz.de'
  Chart YIV9a: author='', email='patrick.fam@rnd.de'
  Chart YO8Jd: author='', email='christoph.kuehne@rnd.de'
  Chart YOwMm: author='', email='christoph.kuehne@rnd.de'
  Chart YPBRj: author='online haz.de', email='online@haz.de'
  Chart YPvgQ: author='', email='christoph.kuehne@rnd.de'
  Chart YQnIh: author='', email='patrick.fam@rnd.de'
  Chart YS4eK: author='', email='christoph.kuehne@rnd.de'
  1210 Charts aktualisiert
  Chart YS6KR: author='online haz.de', email='online@haz.de'
  Chart YSXrf: author='', email='patrick.fam@rnd.de'
  Chart YTj2V: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart YXfgW: author='Michèle', email='m.foerster@madsack.de'
  Chart YXxDi: author='online haz.de', email='online@haz.de'
  Chart YYLL5: author='', email='sven.schulz@rnd.de'
  Chart YYVjo: author='online haz.de', email='online@haz.de'
  Chart YZdNQ: author='', email='christoph.kuehne@rnd.de'
  Chart Yao72: author='online haz.de', email='online@haz.de'
  Chart YbVbQ: author='online haz.de', email='online@haz.de'
  1220 Charts aktualisiert
  Chart Yba8q: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart YcgVX: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart YdVMu: author='online haz.de', email='online@haz.de'
  Chart Yde7G: author='online haz.de', email='online@haz.de'
  Chart YeOvn: author='online haz.de', email='online@haz.de'
  Chart YeSRG: author='online haz.de', email='online@haz.de'
  Chart YflXx: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart Yhhjs: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart YjZp6: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart Yjci3: author='online haz.de', email='online@haz.de'
  1230 Charts aktualisiert
  Chart YjiQD: author='', email='sven.schulz@rnd.de'
  Chart YlBZY: author='online haz.de', email='online@haz.de'
  Chart Yoxtl: author='online haz.de', email='online@haz.de'
  Chart YpWuG: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Yt68c: author='online haz.de', email='online@haz.de'
  Chart Yu0r6: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart YuP2j: author='online haz.de', email='online@haz.de'
  Chart YuVWj: author='online haz.de', email='online@haz.de'
  Chart YweGd: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart YwqDU: author='online haz.de', email='online@haz.de'
  1240 Charts aktualisiert
  Chart Z0OdQ: author='online haz.de', email='online@haz.de'
  Chart Z2Zhq: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Z2iWG: author='online haz.de', email='online@haz.de'
  Chart Z584t: author='online haz.de', email='online@haz.de'
  Chart Z5K2Q: author='online haz.de', email='online@haz.de'
  Chart Z5Ul1: author='online haz.de', email='online@haz.de'
  Chart Z6CIu: author='', email='patrick.fam@rnd.de'
  Chart Z6VOG: author='', email='patrick.fam@rnd.de'
  Chart Z9Vyf: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart ZB3lW: author='online haz.de', email='online@haz.de'
  1250 Charts aktualisiert
  Chart ZDevy: author='', email='patrick.fam@rnd.de'
  Chart ZDnm1: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart ZH007: author='online haz.de', email='online@haz.de'
  Chart ZHSTx: author='online haz.de', email='online@haz.de'
  Chart ZK8Dd: author='', email='patrick.fam@rnd.de'
  Chart ZKLk5: author='', email='elisabeth.woldt@rnd.de'
  Chart ZKjy7: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart ZMx1J: author='online haz.de', email='online@haz.de'
  Chart ZOTXs: author='', email='elisabeth.woldt@rnd.de'
  Chart ZP1zI: author='online haz.de', email='online@haz.de'
  1260 Charts aktualisiert
  Chart ZRk9h: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart ZS29n: author='online haz.de', email='online@haz.de'
  Chart ZS8mr: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart ZUaU1: author='online haz.de', email='online@haz.de'
  Chart ZUsvg: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart ZV7ow: author='', email='christoph.kuehne@rnd.de'
  Chart ZWmQY: author='online haz.de', email='online@haz.de'
  Chart ZWrNg: author='', email='christoph.kuehne@rnd.de'
  Chart ZWwb2: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart ZZqKG: author='Christoph', email='christoph.knoop@rnd.de'
  1270 Charts aktualisiert
  Chart ZaYOq: author='online haz.de', email='online@haz.de'
  Chart Zarh6: author='online haz.de', email='online@haz.de'
  Chart ZdiA5: author='', email='christoph.kuehne@rnd.de'
  Chart ZfAwf: author='online haz.de', email='online@haz.de'
  Chart ZgGyS: author='online haz.de', email='online@haz.de'
  Chart ZhrWo: author='online haz.de', email='online@haz.de'
  Chart ZmDio: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart ZmyzI: author='online haz.de', email='online@haz.de'
  Chart Zo8Rm: author='', email='geraldine.oetken@rnd.de'
  Chart Zr3Qg: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  1280 Charts aktualisiert
  Chart Zssil: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart ZvH1i: author='online haz.de', email='online@haz.de'
  Chart Zwbhy: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart Zx3uW: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart Zx6xL: author='online haz.de', email='online@haz.de'
  Chart ZxN0R: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart ZxO4K: author='', email='christoph.kuehne@rnd.de'
  Chart a0xtM: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart a2cML: author='online haz.de', email='online@haz.de'
  Chart a321i: author='online haz.de', email='online@haz.de'
  1290 Charts aktualisiert
  Chart a39E5: author='online haz.de', email='online@haz.de'
  Chart a3qUr: author='online haz.de', email='online@haz.de'
  Chart a5Dto: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart a6N2g: author='online haz.de', email='online@haz.de'
  Chart a7MJb: author='online haz.de', email='online@haz.de'
  Chart a99KE: author='online haz.de', email='online@haz.de'
  Chart aCHJw: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart aDgSy: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart aESkV: author='online haz.de', email='online@haz.de'
  Chart aHoir: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  1300 Charts aktualisiert
Verarbeite Batch 14 (100 Charts)
  Chart aITo0: author='online haz.de', email='online@haz.de'
  Chart aRsQ9: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart aSKK0: author='', email='patrick.fam@rnd.de'
  Chart aUyUT: author='online haz.de', email='online@haz.de'
  Chart aXQ0S: author='online haz.de', email='online@haz.de'
  Chart aZNuh: author='Michael Ottinger', email='michael.ottinger@rnd.de'
  Chart aartz: author='online haz.de', email='online@haz.de'
  Chart ab5Gz: author='online haz.de', email='online@haz.de'
  Chart acDFP: author='online haz.de', email='online@haz.de'
  Chart adDnV: author='Laura Beigel', email='laura.beigel@rnd.de'
  1310 Charts aktualisiert
  Chart aixYz: author='', email='f.edelhoff@madsack.de'
  Chart ajaup: author='online haz.de', email='online@haz.de'
  Chart ajbP0: author='online haz.de', email='online@haz.de'
  Chart amwi2: author='', email='patrick.fam@rnd.de'
  Chart aqswP: author='online haz.de', email='online@haz.de'
  Chart aw7lj: author='online haz.de', email='online@haz.de'
  Chart awI32: author='online haz.de', email='online@haz.de'
  Chart awnAP: author='', email='patrick.fam@rnd.de'
  Chart aypaz: author='online haz.de', email='online@haz.de'
  Chart b1WXh: author='', email='jens.guemmer@rnd.de'
  1320 Charts aktualisiert
  Chart b2kYX: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart b3pnF: author='Christoph', email='christoph.knoop@rnd.de'
  Chart b4ChS: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart b7zZd: author='online haz.de', email='online@haz.de'
  Chart b8dZC: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart bCQta: author='online haz.de', email='online@haz.de'
  Chart bKukm: author='online haz.de', email='online@haz.de'
  Chart bLCnf: author='online haz.de', email='online@haz.de'
  Chart bLtFN: author='Patricia Haensel', email='patricia.haensel@rnd.de'
